,Unnamed: 0,year,state,measure,value,population
1364,4513,2008,Hawaii,Age,38.3,"1,332,213"
1365,5063,2008,Hawaii,People with less than 9 years of education/people with college degree or above,0.1616143,"1,332,213"
1366,5613,2008,Hawaii,Black/white,0.0959653,"1,332,213"
1367,6163,2008,Hawaii,Hispanic/white,0.351491,"1,332,213"
1368,114,2009,Hawaii,Labor Force Participation,64.3,"1,346,717"
1369,664,2009,Hawaii,Unemployment rate,7.2,"1,346,717"
1370,1214,2009,Hawaii,Average household size,2.82,"1,346,717"
1371,1764,2009,Hawaii,Poverty rate,7.5,"1,346,717"
1372,2314,2009,Hawaii,"Number of corruption convictions per 1,000,000 people",0.772095,"1,346,717"
1373,2864,2009,Hawaii,Gini coefficient,0.42500001,"1,346,717"
1374,3414,2009,Hawaii,GDP,53347.90569,"1,346,717"
1375,3964,2009,Hawaii,Log(GDP),10.88459,"1,346,717"
1376,4514,2009,Hawaii,Age,37.9,"1,346,717"
1377,5064,2009,Hawaii,People with less than 9 years of education/people with college degree or above,0.1550777,"1,346,717"
1378,5614,2009,Hawaii,Black/white,0.0908961,"1,346,717"
1379,6164,2009,Hawaii,Hispanic/white,0.3596704,"1,346,717"
1380,115,2010,Hawaii,Labor Force Participation,62.8,"1,363,963"
1381,665,2010,Hawaii,Unemployment rate,6.9,"1,363,963"
1382,1215,2010,Hawaii,Average household size,2.96,"1,363,963"
1383,1765,2010,Hawaii,Poverty rate,7.4,"1,363,963"
1384,2315,2010,Hawaii,"Number of corruption convictions per 1,000,000 people",0.0,"1,363,963"
1385,2865,2010,Hawaii,Gini coefficient,0.433,"1,363,963"
1386,3415,2010,Hawaii,GDP,52071.86174,"1,363,963"
1387,3965,2010,Hawaii,Log(GDP),10.86038,"1,363,963"
1388,4515,2010,Hawaii,Age,38.7,"1,363,963"
1389,5065,2010,Hawaii,People with less than 9 years of education/people with college degree or above,0.1628444,"1,363,963"
1390,5615,2010,Hawaii,Black/white,0.0658638,"1,363,963"
1391,6165,2010,Hawaii,Hispanic/white,0.3917221,"1,363,963"
1392,116,2011,Hawaii,Labor Force Participation,62.5,"1,379,329"
1393,666,2011,Hawaii,Unemployment rate,6.8,"1,379,329"
1394,1216,2011,Hawaii,Average household size,2.97,"1,379,329"
1395,1766,2011,Hawaii,Poverty rate,8.6,"1,379,329"
1396,2316,2011,Hawaii,"Number of corruption convictions per 1,000,000 people",2.18212,"1,379,329"
1397,2866,2011,Hawaii,Gini coefficient,0.43009999,"1,379,329"
1398,3416,2011,Hawaii,GDP,52429.25416,"1,379,329"
1399,3966,2011,Hawaii,Log(GDP),10.86722,"1,379,329"
1400,4516,2011,Hawaii,Age,38.5,"1,379,329"
1401,5066,2011,Hawaii,People with less than 9 years of education/people with college degree or above,0.1502594,"1,379,329"
1402,5616,2011,Hawaii,Black/white,0.0834821,"1,379,329"
1403,6166,2011,Hawaii,Hispanic/white,0.4015724,"1,379,329"
1404,117,2012,Hawaii,Labor Force Participation,60.7,"1,394,804"
1405,667,2012,Hawaii,Unemployment rate,6.0,"1,394,804"
1406,1217,2012,Hawaii,Average household size,3.01,"1,394,804"
1407,1767,2012,Hawaii,Poverty rate,8.6,"1,394,804"
1408,2317,2012,Hawaii,"Number of corruption convictions per 1,000,000 people",1.43646,"1,394,804"
1409,2867,2012,Hawaii,Gini coefficient,0.42570001,"1,394,804"
1410,3417,2012,Hawaii,GDP,52849.31341,"1,394,804"
1411,3967,2012,Hawaii,Log(GDP),10.8752,"1,394,804"
1412,4517,2012,Hawaii,Age,38.3,"1,394,804"
1413,5067,2012,Hawaii,People with less than 9 years of education/people with college degree or above,0.1432205,"1,394,804"
1414,5617,2012,Hawaii,Black/white,0.0807899,"1,394,804"
1415,6167,2012,Hawaii,Hispanic/white,0.4155511,"1,394,804"
1416,118,2013,Hawaii,Labor Force Participation,60.7,"1,408,243"
1417,668,2013,Hawaii,Unemployment rate,4.9,"1,408,243"
1418,1218,2013,Hawaii,Average household size,3.02,"1,408,243"
1419,1768,2013,Hawaii,Poverty rate,7.1,"1,408,243"
1420,2318,2013,Hawaii,"Number of corruption convictions per 1,000,000 people",0.0,"1,408,243"
1421,2868,2013,Hawaii,Gini coefficient,0.44,"1,408,243"
1422,3418,2013,Hawaii,GDP,52902.18916,"1,408,243"
1423,3968,2013,Hawaii,Log(GDP),10.8762,"1,408,243"
1424,4518,2013,Hawaii,Age,38.1,"1,408,243"
1425,5068,2013,Hawaii,People with less than 9 years of education/people with college degree or above,0.1251291,"1,408,243"
1426,5618,2013,Hawaii,Black/white,0.0939063,"1,408,243"
1427,6168,2013,Hawaii,Hispanic/white,0.4278056,"1,408,243"
1428,119,2014,Hawaii,Labor Force Participation,61.6,"1,414,538"
1429,669,2014,Hawaii,Unemployment rate,4.4,"1,414,538"
1430,1219,2014,Hawaii,Average household size,3.05,"1,414,538"
1431,1769,2014,Hawaii,Poverty rate,7.8,"1,414,538"
1432,2319,2014,Hawaii,"Number of corruption convictions per 1,000,000 people",2.81777,"1,414,538"
1433,2869,2014,Hawaii,Gini coefficient,0.4325,"1,414,538"
1434,3419,2014,Hawaii,GDP,52484.33379,"1,414,538"
1435,3969,2014,Hawaii,Log(GDP),10.86827,"1,414,538"
1436,4519,2014,Hawaii,Age,38.1,"1,414,538"
1437,5069,2014,Hawaii,People with less than 9 years of education/people with college degree or above,0.1304364,"1,414,538"
1438,5619,2014,Hawaii,Black/white,0.0944734,"1,414,538"
1439,6169,2014,Hawaii,Hispanic/white,0.4403719,"1,414,538"
1440,120,2015,Hawaii,Labor Force Participation,62.0,"1,422,052"
1441,670,2015,Hawaii,Unemployment rate,3.6,"1,422,052"
1442,1220,2015,Hawaii,Average household size,3.11,"1,422,052"
1443,1770,2015,Hawaii,Poverty rate,6.9,"1,422,052"
1444,2320,2015,Hawaii,"Number of corruption convictions per 1,000,000 people",3.49259,"1,422,052"
1445,2870,2015,Hawaii,Gini coefficient,0.4346,"1,422,052"
1446,3420,2015,Hawaii,GDP,53801.68148,"1,422,052"
1447,3970,2015,Hawaii,Log(GDP),10.89306,"1,422,052"
1448,4520,2015,Hawaii,Age,37.7,"1,422,052"
1449,5070,2015,Hawaii,People with less than 9 years of education/people with college degree or above,0.1291907,"1,422,052"
1450,5620,2015,Hawaii,Black/white,0.0908901,"1,422,052"
1451,6170,2015,Hawaii,Hispanic/white,0.4559377,"1,422,052"
1452,121,2005,Idaho,Labor Force Participation,69.3,"1,428,241"
1453,671,2005,Idaho,Unemployment rate,4.0,"1,428,241"
1454,1221,2005,Idaho,Average household size,2.62,"1,428,241"
1455,1771,2005,Idaho,Poverty rate,10.3,"1,428,241"
1456,2321,2005,Idaho,"Number of corruption convictions per 1,000,000 people",0.700162,"1,428,241"
1457,2871,2005,Idaho,Gini coefficient,0.40600002,"1,428,241"
1458,3421,2005,Idaho,GDP,39685.8508,"1,428,241"
1459,3971,2005,Idaho,Log(GDP),10.58875,"1,428,241"
1460,4521,2005,Idaho,Age,34.6,"1,428,241"
1461,5071,2005,Idaho,People with less than 9 years of education/people with college degree or above,0.1950355,"1,428,241"
1462,5621,2005,Idaho,Black/white,0.0042658,"1,428,241"
1463,6171,2005,Idaho,Hispanic/white,0.1045295,"1,428,241"
1464,122,2006,Idaho,Labor Force Participation,68.8,"1,468,669"
1465,672,2006,Idaho,Unemployment rate,3.5,"1,468,669"
1466,1222,2006,Idaho,Average household size,2.61,"1,468,669"
1467,1772,2006,Idaho,Poverty rate,9.3,"1,468,669"
1468,2322,2006,Idaho,"Number of corruption convictions per 1,000,000 people",0.680888,"1,468,669"
1469,2872,2006,Idaho,Gini coefficient,0.421,"1,468,669"
1470,3422,2006,Idaho,GDP,39270.9367,"1,468,669"
1471,3972,2006,Idaho,Log(GDP),10.57824,"1,468,669"
1472,4522,2006,Idaho,Age,34.3,"1,468,669"
1473,5072,2006,Idaho,People with less than 9 years of education/people with college degree or above,0.1912854,"1,468,669"
1474,5622,2006,Idaho,Black/white,0.0048252,"1,468,669"
1475,6172,2006,Idaho,Hispanic/white,0.1097585,"1,468,669"
1476,123,2007,Idaho,Labor Force Participation,67.8,"1,505,105"
1477,673,2007,Idaho,Unemployment rate,3.1,"1,505,105"
1478,1223,2007,Idaho,Average household size,2.61,"1,505,105"
1479,1773,2007,Idaho,Poverty rate,8.9,"1,505,105"
1480,2323,2007,Idaho,"Number of corruption convictions per 1,000,000 people",0.664408,"1,505,105"
1481,2873,2007,Idaho,Gini coefficient,0.43599999,"1,505,105"
1482,3423,2007,Idaho,GDP,39150.9513,"1,505,105"
1483,3973,2007,Idaho,Log(GDP),10.57518,"1,505,105"
1484,4523,2007,Idaho,Age,34.3,"1,505,105"
1485,5073,2007,Idaho,People with less than 9 years of education/people with college degree or above,0.1586999,"1,505,105"
1486,5623,2007,Idaho,Black/white,0.0065606,"1,505,105"
1487,6173,2007,Idaho,Hispanic/white,0.1149941,"1,505,105"
1488,124,2008,Idaho,Labor Force Participation,66.6,"1,534,320"
1489,674,2008,Idaho,Unemployment rate,5.1,"1,534,320"
1490,1224,2008,Idaho,Average household size,2.63,"1,534,320"
1491,1774,2008,Idaho,Poverty rate,9.4,"1,534,320"
1492,2324,2008,Idaho,"Number of corruption convictions per 1,000,000 people",0.656247,"1,534,320"
1493,2874,2008,Idaho,Gini coefficient,0.419,"1,534,320"
1494,3424,2008,Idaho,GDP,39180.71733,"1,534,320"
1495,3974,2008,Idaho,Log(GDP),10.57594,"1,534,320"
1496,4524,2008,Idaho,Age,34.4,"1,534,320"
1497,5074,2008,Idaho,People with less than 9 years of education/people with college degree or above,0.2076496,"1,534,320"
1498,5624,2008,Idaho,Black/white,0.0061399,"1,534,320"
1499,6174,2008,Idaho,Hispanic/white,0.1202297,"1,534,320"
1500,125,2009,Idaho,Labor Force Participation,65.8,"1,554,439"
1501,675,2009,Idaho,Unemployment rate,8.8,"1,554,439"
1502,1225,2009,Idaho,Average household size,2.71,"1,554,439"
1503,1775,2009,Idaho,Poverty rate,9.9,"1,554,439"
1504,2325,2009,Idaho,"Number of corruption convictions per 1,000,000 people",0.646914,"1,554,439"
1505,2875,2009,Idaho,Gini coefficient,0.421,"1,554,439"
1506,3425,2009,Idaho,GDP,36930.75678,"1,554,439"
1507,3975,2009,Idaho,Log(GDP),10.5168,"1,554,439"
1508,4525,2009,Idaho,Age,34.2,"1,554,439"
1509,5075,2009,Idaho,People with less than 9 years of education/people with college degree or above,0.1895662,"1,554,439"
1510,5625,2009,Idaho,Black/white,0.007845,"1,554,439"
1511,6175,2009,Idaho,Hispanic/white,0.1266257,"1,554,439"
1512,126,2010,Idaho,Labor Force Participation,65.3,"1,570,746"
1513,676,2010,Idaho,Unemployment rate,9.0,"1,570,746"
1514,1226,2010,Idaho,Average household size,2.67,"1,570,746"
1515,1776,2010,Idaho,Poverty rate,11.6,"1,570,746"
1516,2326,2010,Idaho,"Number of corruption convictions per 1,000,000 people",0.0,"1,570,746"
1517,2876,2010,Idaho,Gini coefficient,0.433,"1,570,746"
1518,3426,2010,Idaho,GDP,36849.22993,"1,570,746"
1519,3976,2010,Idaho,Log(GDP),10.51459,"1,570,746"
1520,4526,2010,Idaho,Age,34.7,"1,570,746"
1521,5076,2010,Idaho,People with less than 9 years of education/people with college degree or above,0.1725495,"1,570,746"
1522,5626,2010,Idaho,Black/white,0.006719,"1,570,746"
1523,6176,2010,Idaho,Hispanic/white,0.1343079,"1,570,746"
1524,127,2011,Idaho,Labor Force Participation,64.9,"1,583,910"
1525,677,2011,Idaho,Unemployment rate,8.3,"1,583,910"
1526,1227,2011,Idaho,Average household size,2.68,"1,583,910"
1527,1777,2011,Idaho,Poverty rate,11.6,"1,583,910"
1528,2327,2011,Idaho,"Number of corruption convictions per 1,000,000 people",1.89276,"1,583,910"
1529,2877,2011,Idaho,Gini coefficient,0.43200001,"1,583,910"
1530,3427,2011,Idaho,GDP,36465.06653,"1,583,910"
1531,3977,2011,Idaho,Log(GDP),10.50411,"1,583,910"
1532,4527,2011,Idaho,Age,35.0,"1,583,910"
1533,5077,2011,Idaho,People with less than 9 years of education/people with college degree or above,0.1785359,"1,583,910"
1534,5627,2011,Idaho,Black/white,0.0063427,"1,583,910"
1535,6177,2011,Idaho,Hispanic/white,0.13736,"1,583,910"
1536,128,2012,Idaho,Labor Force Participation,64.5,"1,595,324"
1537,678,2012,Idaho,Unemployment rate,7.2,"1,595,324"
1538,1228,2012,Idaho,Average household size,2.69,"1,595,324"
1539,1778,2012,Idaho,Poverty rate,11.7,"1,595,324"
1540,2328,2012,Idaho,"Number of corruption convictions per 1,000,000 people",3.76004,"1,595,324"
1541,2878,2012,Idaho,Gini coefficient,0.43020001,"1,595,324"
1542,3428,2012,Idaho,GDP,36199.4788,"1,595,324"
1543,3978,2012,Idaho,Log(GDP),10.4968,"1,595,324"
1544,4528,2012,Idaho,Age,35.2,"1,595,324"
1545,5078,2012,Idaho,People with less than 9 years of education/people with college degree or above,0.160679,"1,595,324"
1546,5628,2012,Idaho,Black/white,0.0065811,"1,595,324"
1547,6178,2012,Idaho,Hispanic/white,0.1391188,"1,595,324"
1548,129,2013,Idaho,Labor Force Participation,63.8,"1,611,206"
1549,679,2013,Idaho,Unemployment rate,6.1,"1,611,206"
1550,1229,2013,Idaho,Average household size,2.69,"1,611,206"
1551,1779,2013,Idaho,Poverty rate,10.4,"1,611,206"
1552,2329,2013,Idaho,"Number of corruption convictions per 1,000,000 people",2.48118,"1,611,206"
1553,2879,2013,Idaho,Gini coefficient,0.43759999,"1,611,206"
1554,3429,2013,Idaho,GDP,37112.53269,"1,611,206"
1555,3979,2013,Idaho,Log(GDP),10.52171,"1,611,206"
1556,4529,2013,Idaho,Age,35.7,"1,611,206"
1557,5079,2013,Idaho,People with less than 9 years of education/people with college degree or above,0.1638679,"1,611,206"
1558,5629,2013,Idaho,Black/white,0.0067844,"1,611,206"
1559,6179,2013,Idaho,Hispanic/white,0.1418855,"1,611,206"
1560,130,2014,Idaho,Labor Force Participation,63.6,"1,631,112"
1561,680,2014,Idaho,Unemployment rate,4.8,"1,631,112"
1562,1230,2014,Idaho,Average household size,2.71,"1,631,112"
1563,1780,2014,Idaho,Poverty rate,10.2,"1,631,112"
1564,2330,2014,Idaho,"Number of corruption convictions per 1,000,000 people",0.611821,"1,631,112"
1565,2880,2014,Idaho,Gini coefficient,0.45410001,"1,631,112"
1566,3430,2014,Idaho,GDP,37545.16923,"1,631,112"
1567,3980,2014,Idaho,Log(GDP),10.5333,"1,631,112"
1568,4530,2014,Idaho,Age,35.9,"1,631,112"
1569,5080,2014,Idaho,People with less than 9 years of education/people with college degree or above,0.1550845,"1,631,112"
1570,5630,2014,Idaho,Black/white,0.008392,"1,631,112"
1571,6180,2014,Idaho,Hispanic/white,0.1455423,"1,631,112"
1572,131,2015,Idaho,Labor Force Participation,63.9,"1,651,059"
1573,681,2015,Idaho,Unemployment rate,4.2,"1,651,059"
1574,1231,2015,Idaho,Average household size,2.72,"1,651,059"
1575,1781,2015,Idaho,Poverty rate,10.9,"1,651,059"
1576,2331,2015,Idaho,"Number of corruption convictions per 1,000,000 people",1.81277,"1,651,059"
1577,2881,2015,Idaho,Gini coefficient,0.45249999,"1,651,059"
1578,3431,2015,Idaho,GDP,38193.85814,"1,651,059"
1579,3981,2015,Idaho,Log(GDP),10.55043,"1,651,059"
1580,4531,2015,Idaho,Age,35.8,"1,651,059"
1581,5081,2015,Idaho,People with less than 9 years of education/people with college degree or above,0.1434752,"1,651,059"
1582,5631,2015,Idaho,Black/white,0.0064578,"1,651,059"
1583,6181,2015,Idaho,Hispanic/white,0.1461851,"1,651,059"
1584,132,2005,Illinois,Labor Force Participation,66.6,"12,609,903"
1585,682,2005,Illinois,Unemployment rate,5.7,"12,609,903"
1586,1232,2005,Illinois,Average household size,2.65,"12,609,903"
1587,1782,2005,Illinois,Poverty rate,9.2,"12,609,903"
1588,2332,2005,Illinois,"Number of corruption convictions per 1,000,000 people",5.8684,"12,609,903"
1589,2882,2005,Illinois,Gini coefficient,0.45800003,"12,609,903"
1590,3432,2005,Illinois,GDP,55134.99988,"12,609,903"
1591,3982,2005,Illinois,Log(GDP),10.91754,"12,609,903"
1592,4532,2005,Illinois,Age,35.6,"12,609,903"
1593,5082,2005,Illinois,People with less than 9 years of education/people with college degree or above,0.2134968,"12,609,903"
1594,5632,2005,Illinois,Black/white,0.2193027,"12,609,903"
1595,6182,2005,Illinois,Hispanic/white,0.2210173,"12,609,903"
1596,133,2006,Illinois,Labor Force Participation,67.5,"12,643,955"
1597,683,2006,Illinois,Unemployment rate,4.5,"12,643,955"
1598,1233,2006,Illinois,Average household size,2.65,"12,643,955"
1599,1783,2006,Illinois,Poverty rate,9.1,"12,643,955"
1600,2333,2006,Illinois,"Number of corruption convictions per 1,000,000 people",3.00538,"12,643,955"
1601,2883,2006,Illinois,Gini coefficient,0.46200001,"12,643,955"
1602,3433,2006,Illinois,GDP,54901.72238,"12,643,955"
1603,3983,2006,Illinois,Log(GDP),10.9133,"12,643,955"
1604,4533,2006,Illinois,Age,35.7,"12,643,955"
1605,5083,2006,Illinois,People with less than 9 years of education/people with college degree or above,0.2277605,"12,643,955"
1606,5633,2006,Illinois,Black/white,0.224897,"12,643,955"
1607,6183,2006,Illinois,Hispanic/white,0.2259557,"12,643,955"
1608,134,2007,Illinois,Labor Force Participation,68.4,"12,695,866"
1609,684,2007,Illinois,Unemployment rate,5.0,"12,695,866"
1610,1234,2007,Illinois,Average household size,2.63,"12,695,866"
1611,1784,2007,Illinois,Poverty rate,8.8,"12,695,866"
1612,2334,2007,Illinois,"Number of corruption convictions per 1,000,000 people",3.46569,"12,695,866"
1613,2884,2007,Illinois,Gini coefficient,0.46599999,"12,695,866"
1614,3434,2007,Illinois,GDP,55452.93933,"12,695,866"
1615,3984,2007,Illinois,Log(GDP),10.92329,"12,695,866"
1616,4534,2007,Illinois,Age,35.9,"12,695,866"
1617,5084,2007,Illinois,People with less than 9 years of education/people with college degree or above,0.2132294,"12,695,866"
1618,5634,2007,Illinois,Black/white,0.2238645,"12,695,866"
1619,6184,2007,Illinois,Hispanic/white,0.229858,"12,695,866"
1620,135,2008,Illinois,Labor Force Participation,67.8,"12,747,038"
1621,685,2008,Illinois,Unemployment rate,6.3,"12,747,038"
1622,1235,2008,Illinois,Average household size,2.63,"12,747,038"
1623,1785,2008,Illinois,Poverty rate,9.0,"12,747,038"
1624,2335,2008,Illinois,"Number of corruption convictions per 1,000,000 people",4.34056,"12,747,038"
1625,2885,2008,Illinois,Gini coefficient,0.46700001,"12,747,038"
1626,3435,2008,Illinois,GDP,54212.67412,"12,747,038"
1627,3985,2008,Illinois,Log(GDP),10.90067,"12,747,038"
1628,4535,2008,Illinois,Age,36.0,"12,747,038"
1629,5085,2008,Illinois,People with less than 9 years of education/people with college degree or above,0.2155311,"12,747,038"
1630,5635,2008,Illinois,Black/white,0.2261215,"12,747,038"
1631,6185,2008,Illinois,Hispanic/white,0.2365763,"12,747,038"
1632,136,2009,Illinois,Labor Force Participation,67.0,"12,796,778"
1633,686,2009,Illinois,Unemployment rate,10.2,"12,796,778"
1634,1236,2009,Illinois,Average household size,2.64,"12,796,778"
1635,1786,2009,Illinois,Poverty rate,9.9,"12,796,778"
1636,2336,2009,Illinois,"Number of corruption convictions per 1,000,000 people",4.4925,"12,796,778"
1637,2886,2009,Illinois,Gini coefficient,0.46900001,"12,796,778"
1638,3436,2009,Illinois,GDP,52900.60212,"12,796,778"
1639,3986,2009,Illinois,Log(GDP),10.87617,"12,796,778"
1640,4536,2009,Illinois,Age,36.2,"12,796,778"
1641,5086,2009,Illinois,People with less than 9 years of education/people with college degree or above,0.1985657,"12,796,778"
1642,5636,2009,Illinois,Black/white,0.2257408,"12,796,778"
1643,6186,2009,Illinois,Hispanic/white,0.2367598,"12,796,778"
1644,137,2010,Illinois,Labor Force Participation,66.9,"12,840,503"
1645,687,2010,Illinois,Unemployment rate,10.4,"12,840,503"
1646,1237,2010,Illinois,Average household size,2.64,"12,840,503"
1647,1787,2010,Illinois,Poverty rate,10.1,"12,840,503"
1648,2337,2010,Illinois,"Number of corruption convictions per 1,000,000 people",4.04885,"12,840,503"
1649,2887,2010,Illinois,Gini coefficient,0.465,"12,840,503"
1650,3437,2010,Illinois,GDP,54111.39115,"12,840,503"
1651,3987,2010,Illinois,Log(GDP),10.8988,"12,840,503"
1652,4537,2010,Illinois,Age,36.6,"12,840,503"
1653,5087,2010,Illinois,People with less than 9 years of education/people with college degree or above,0.1815062,"12,840,503"
1654,5637,2010,Illinois,Black/white,0.2284121,"12,840,503"
1655,6187,2010,Illinois,Hispanic/white,0.2494286,"12,840,503"
1656,138,2011,Illinois,Labor Force Participation,66.2,"12,867,454"
1657,688,2011,Illinois,Unemployment rate,9.7,"12,867,454"
1658,1238,2011,Illinois,Average household size,2.65,"12,867,454"
1659,1788,2011,Illinois,Poverty rate,11.0,"12,867,454"
1660,2338,2011,Illinois,"Number of corruption convictions per 1,000,000 people",3.18589,"12,867,454"
1661,2888,2011,Illinois,Gini coefficient,0.4718,"12,867,454"
1662,3438,2011,Illinois,GDP,54941.81527,"12,867,454"
1663,3988,2011,Illinois,Log(GDP),10.91403,"12,867,454"
1664,4538,2011,Illinois,Age,36.8,"12,867,454"
1665,5088,2011,Illinois,People with less than 9 years of education/people with college degree or above,0.1818626,"12,867,454"
1666,5638,2011,Illinois,Black/white,0.2298534,"12,867,454"
1667,6188,2011,Illinois,Hispanic/white,0.2556694,"12,867,454"
1668,139,2012,Illinois,Labor Force Participation,65.9,"12,882,510"
1669,689,2012,Illinois,Unemployment rate,9.0,"12,882,510"
1670,1239,2012,Illinois,Average household size,2.64,"12,882,510"
1671,1789,2012,Illinois,Poverty rate,10.9,"12,882,510"
1672,2339,2012,Illinois,"Number of corruption convictions per 1,000,000 people",3.41741,"12,882,510"
1673,2889,2012,Illinois,Gini coefficient,0.4716,"12,882,510"
1674,3439,2012,Illinois,GDP,55975.53504,"12,882,510"
1675,3989,2012,Illinois,Log(GDP),10.93267,"12,882,510"
1676,4539,2012,Illinois,Age,37.0,"12,882,510"
1677,5089,2012,Illinois,People with less than 9 years of education/people with college degree or above,0.1774172,"12,882,510"
1678,5639,2012,Illinois,Black/white,0.2289977,"12,882,510"
1679,6189,2012,Illinois,Hispanic/white,0.2594625,"12,882,510"
1680,140,2013,Illinois,Labor Force Participation,65.3,"12,895,129"
1681,690,2013,Illinois,Unemployment rate,9.0,"12,895,129"
1682,1240,2013,Illinois,Average household size,2.63,"12,895,129"
1683,1790,2013,Illinois,Poverty rate,10.8,"12,895,129"
1684,2340,2013,Illinois,"Number of corruption convictions per 1,000,000 people",5.35626,"12,895,129"
1685,2890,2013,Illinois,Gini coefficient,0.4824,"12,895,129"
1686,3440,2013,Illinois,GDP,56249.92575,"12,895,129"
1687,3990,2013,Illinois,Log(GDP),10.93756,"12,895,129"
1688,4540,2013,Illinois,Age,37.2,"12,895,129"
1689,5090,2013,Illinois,People with less than 9 years of education/people with college degree or above,0.171631,"12,895,129"
1690,5640,2013,Illinois,Black/white,0.2271166,"12,895,129"
1691,6190,2013,Illinois,Hispanic/white,0.2624128,"12,895,129"
1692,141,2014,Illinois,Labor Force Participation,64.8,"12,884,493"
1693,691,2014,Illinois,Unemployment rate,7.1,"12,884,493"
1694,1241,2014,Illinois,Average household size,2.64,"12,884,493"
1695,1791,2014,Illinois,Poverty rate,10.5,"12,884,493"
1696,2341,2014,Illinois,"Number of corruption convictions per 1,000,000 people",2.48436,"12,884,493"
1697,2891,2014,Illinois,Gini coefficient,0.4765,"12,884,493"
1698,3441,2014,Illinois,GDP,57001.90686,"12,884,493"
1699,3991,2014,Illinois,Log(GDP),10.95084,"12,884,493"
1700,4541,2014,Illinois,Age,37.5,"12,884,493"
1701,5091,2014,Illinois,People with less than 9 years of education/people with college degree or above,0.1592786,"12,884,493"
1702,5641,2014,Illinois,Black/white,0.2295308,"12,884,493"
1703,6191,2014,Illinois,Hispanic/white,0.2687234,"12,884,493"
1704,142,2015,Illinois,Labor Force Participation,64.7,"12,858,913"
1705,692,2015,Illinois,Unemployment rate,6.0,"12,858,913"
1706,1242,2015,Illinois,Average household size,2.62,"12,858,913"
1707,1792,2015,Illinois,Poverty rate,9.8,"12,858,913"
1708,2342,2015,Illinois,"Number of corruption convictions per 1,000,000 people",1.47745,"12,858,913"
1709,2892,2015,Illinois,Gini coefficient,0.4817,"12,858,913"
1710,3442,2015,Illinois,GDP,57676.78316,"12,858,913"
1711,3992,2015,Illinois,Log(GDP),10.96261,"12,858,913"
1712,4542,2015,Illinois,Age,37.7,"12,858,913"
1713,5092,2015,Illinois,People with less than 9 years of education/people with college degree or above,0.1600002,"12,858,913"
1714,5642,2015,Illinois,Black/white,0.232074,"12,858,913"
1715,6192,2015,Illinois,Hispanic/white,0.27326,"12,858,913"
1716,143,2005,Indiana,Labor Force Participation,67.4,"6,278,616"
1717,693,2005,Indiana,Unemployment rate,5.5,"6,278,616"
1718,1243,2005,Indiana,Average household size,2.49,"6,278,616"
1719,1793,2005,Indiana,Poverty rate,9.0,"6,278,616"
1720,2343,2005,Indiana,"Number of corruption convictions per 1,000,000 people",2.22979,"6,278,616"
1721,2893,2005,Indiana,Gini coefficient,0.43500003,"6,278,616"
1722,3443,2005,Indiana,GDP,46852.98502,"6,278,616"
1723,3993,2005,Indiana,Log(GDP),10.75477,"6,278,616"
1724,4543,2005,Indiana,Age,36.1,"6,278,616"
1725,5093,2005,Indiana,People with less than 9 years of education/people with college degree or above,0.2066559,"6,278,616"
1726,5643,2005,Indiana,Black/white,0.100483,"6,278,616"
1727,6193,2005,Indiana,Hispanic/white,0.0540867,"6,278,616"
1728,144,2006,Indiana,Labor Force Participation,67.5,"6,332,669"
1729,694,2006,Indiana,Unemployment rate,5.0,"6,332,669"
1730,1244,2006,Indiana,Average household size,2.52,"6,332,669"
1731,1794,2006,Indiana,Poverty rate,9.0,"6,332,669"
1732,2344,2006,Indiana,"Number of corruption convictions per 1,000,000 people",1.4212,"6,332,669"
1733,2894,2006,Indiana,Gini coefficient,0.43200001,"6,332,669"
1734,3444,2006,Indiana,GDP,46134.20833,"6,332,669"
1735,3994,2006,Indiana,Log(GDP),10.73931,"6,332,669"
1736,4544,2006,Indiana,Age,36.3,"6,332,669"
1737,5094,2006,Indiana,People with less than 9 years of education/people with college degree or above,0.2123694,"6,332,669"
1738,5644,2006,Indiana,Black/white,0.1039117,"6,332,669"
1739,6194,2006,Indiana,Hispanic/white,0.0565854,"6,332,669"
1740,145,2007,Indiana,Labor Force Participation,66.3,"6,379,599"
1741,695,2007,Indiana,Unemployment rate,4.6,"6,379,599"
1742,1245,2007,Indiana,Average household size,2.5,"6,379,599"
1743,1795,2007,Indiana,Poverty rate,8.7,"6,379,599"
1744,2345,2007,Indiana,"Number of corruption convictions per 1,000,000 people",3.76199,"6,379,599"
1745,2895,2007,Indiana,Gini coefficient,0.42899999,"6,379,599"
1746,3445,2007,Indiana,GDP,47188.24057,"6,379,599"
1747,3995,2007,Indiana,Log(GDP),10.7619,"6,379,599"
1748,4545,2007,Indiana,Age,36.5,"6,379,599"
1749,5095,2007,Indiana,People with less than 9 years of education/people with college degree or above,0.1897064,"6,379,599"
1750,5645,2007,Indiana,Black/white,0.103022,"6,379,599"
1751,6195,2007,Indiana,Hispanic/white,0.0591288,"6,379,599"
1752,146,2008,Indiana,Labor Force Participation,66.3,"6,424,806"
1753,696,2008,Indiana,Unemployment rate,5.9,"6,424,806"
1754,1246,2008,Indiana,Average household size,2.49,"6,424,806"
1755,1796,2008,Indiana,Poverty rate,9.6,"6,424,806"
1756,2346,2008,Indiana,"Number of corruption convictions per 1,000,000 people",2.19546,"6,424,806"
