,year,state,measure,value
1363,2015,Mississippi,Average household size,2.62
1364,2005,Missouri,Average household size,2.46
1365,2006,Missouri,Average household size,2.46
1366,2007,Missouri,Average household size,2.47
1367,2008,Missouri,Average household size,2.46
1368,2009,Missouri,Average household size,2.49
1369,2010,Missouri,Average household size,2.48
1370,2011,Missouri,Average household size,2.49
1371,2012,Missouri,Average household size,2.48
1372,2013,Missouri,Average household size,2.48
1373,2014,Missouri,Average household size,2.5
1374,2015,Missouri,Average household size,2.49
1375,2005,Montana,Average household size,2.47
1376,2006,Montana,Average household size,2.47
1377,2007,Montana,Average household size,2.5
1378,2008,Montana,Average household size,2.5
1379,2009,Montana,Average household size,2.53
1380,2010,Montana,Average household size,2.39
1381,2011,Montana,Average household size,2.4
1382,2012,Montana,Average household size,2.39
1383,2013,Montana,Average household size,2.43
1384,2014,Montana,Average household size,2.42
1385,2015,Montana,Average household size,2.42
1386,2005,Nebraska,Average household size,2.45
1387,2006,Nebraska,Average household size,2.45
1388,2007,Nebraska,Average household size,2.46
1389,2008,Nebraska,Average household size,2.46
1390,2009,Nebraska,Average household size,2.45
1391,2010,Nebraska,Average household size,2.47
1392,2011,Nebraska,Average household size,2.48
1393,2012,Nebraska,Average household size,2.46
1394,2013,Nebraska,Average household size,2.49
1395,2014,Nebraska,Average household size,2.47
1396,2015,Nebraska,Average household size,2.48
1397,2005,Nevada,Average household size,2.63
1398,2006,Nevada,Average household size,2.63
1399,2007,Nevada,Average household size,2.65
1400,2008,Nevada,Average household size,2.69
1401,2009,Nevada,Average household size,2.7
1402,2010,Nevada,Average household size,2.7
1403,2011,Nevada,Average household size,2.74
1404,2012,Nevada,Average household size,2.7
1405,2013,Nevada,Average household size,2.75
1406,2014,Nevada,Average household size,2.74
1407,2015,Nevada,Average household size,2.74
1408,2005,New Hampshire,Average household size,2.56
1409,2006,New Hampshire,Average household size,2.53
1410,2007,New Hampshire,Average household size,2.54
1411,2008,New Hampshire,Average household size,2.53
1412,2009,New Hampshire,Average household size,2.54
1413,2010,New Hampshire,Average household size,2.48
1414,2011,New Hampshire,Average household size,2.47
1415,2012,New Hampshire,Average household size,2.47
1416,2013,New Hampshire,Average household size,2.47
1417,2014,New Hampshire,Average household size,2.47
1418,2015,New Hampshire,Average household size,2.49
1419,2005,New Jersey,Average household size,2.71
1420,2006,New Jersey,Average household size,2.72
1421,2007,New Jersey,Average household size,2.7
1422,2008,New Jersey,Average household size,2.69
1423,2009,New Jersey,Average household size,2.7
1424,2010,New Jersey,Average household size,2.72
1425,2011,New Jersey,Average household size,2.73
1426,2012,New Jersey,Average household size,2.71
1427,2013,New Jersey,Average household size,2.74
1428,2014,New Jersey,Average household size,2.74
1429,2015,New Jersey,Average household size,2.75
1430,2005,New Mexico,Average household size,2.59
1431,2006,New Mexico,Average household size,2.64
1432,2007,New Mexico,Average household size,2.62
1433,2008,New Mexico,Average household size,2.62
1434,2009,New Mexico,Average household size,2.65
1435,2010,New Mexico,Average household size,2.64
1436,2011,New Mexico,Average household size,2.66
1437,2012,New Mexico,Average household size,2.67
1438,2013,New Mexico,Average household size,2.71
1439,2014,New Mexico,Average household size,2.68
1440,2015,New Mexico,Average household size,2.68
1441,2005,New York,Average household size,2.62
1442,2006,New York,Average household size,2.64
1443,2007,New York,Average household size,2.63
1444,2008,New York,Average household size,2.65
1445,2009,New York,Average household size,2.63
1446,2010,New York,Average household size,2.61
1447,2011,New York,Average household size,2.63
1448,2012,New York,Average household size,2.62
1449,2013,New York,Average household size,2.64
1450,2014,New York,Average household size,2.63
1451,2015,New York,Average household size,2.66
1452,2005,North Carolina,Average household size,2.47
1453,2006,North Carolina,Average household size,2.49
1454,2007,North Carolina,Average household size,2.48
1455,2008,North Carolina,Average household size,2.49
1456,2009,North Carolina,Average household size,2.49
1457,2010,North Carolina,Average household size,2.53
1458,2011,North Carolina,Average household size,2.55
1459,2012,North Carolina,Average household size,2.55
1460,2013,North Carolina,Average household size,2.55
1461,2014,North Carolina,Average household size,2.56
1462,2015,North Carolina,Average household size,2.55
1463,2005,North Dakota,Average household size,2.25
1464,2006,North Dakota,Average household size,2.23
1465,2007,North Dakota,Average household size,2.25
1466,2008,North Dakota,Average household size,2.24
1467,2009,North Dakota,Average household size,2.22
1468,2010,North Dakota,Average household size,2.32
1469,2011,North Dakota,Average household size,2.32
1470,2012,North Dakota,Average household size,2.32
1471,2013,North Dakota,Average household size,2.33
1472,2014,North Dakota,Average household size,2.33
1473,2015,North Dakota,Average household size,2.33
1474,2005,Ohio,Average household size,2.47
1475,2006,Ohio,Average household size,2.48
1476,2007,Ohio,Average household size,2.48
1477,2008,Ohio,Average household size,2.48
1478,2009,Ohio,Average household size,2.48
1479,2010,Ohio,Average household size,2.48
1480,2011,Ohio,Average household size,2.48
1481,2012,Ohio,Average household size,2.47
1482,2013,Ohio,Average household size,2.47
1483,2014,Ohio,Average household size,2.46
1484,2015,Ohio,Average household size,2.45
1485,2005,Oklahoma,Average household size,2.49
1486,2006,Oklahoma,Average household size,2.5
1487,2007,Oklahoma,Average household size,2.5
1488,2008,Oklahoma,Average household size,2.51
1489,2009,Oklahoma,Average household size,2.5
1490,2010,Oklahoma,Average household size,2.55
1491,2011,Oklahoma,Average household size,2.55
1492,2012,Oklahoma,Average household size,2.56
1493,2013,Oklahoma,Average household size,2.58
1494,2014,Oklahoma,Average household size,2.58
1495,2015,Oklahoma,Average household size,2.59
1496,2005,Oregon,Average household size,2.5
1497,2006,Oregon,Average household size,2.5
1498,2007,Oregon,Average household size,2.49
1499,2008,Oregon,Average household size,2.51
1500,2009,Oregon,Average household size,2.52
1501,2010,Oregon,Average household size,2.49
1502,2011,Oregon,Average household size,2.5
1503,2012,Oregon,Average household size,2.51
1504,2013,Oregon,Average household size,2.52
1505,2014,Oregon,Average household size,2.53
1506,2015,Oregon,Average household size,2.54
1507,2005,Pennsylvania,Average household size,2.46
1508,2006,Pennsylvania,Average household size,2.47
1509,2007,Pennsylvania,Average household size,2.46
1510,2008,Pennsylvania,Average household size,2.44
1511,2009,Pennsylvania,Average household size,2.47
1512,2010,Pennsylvania,Average household size,2.49
1513,2011,Pennsylvania,Average household size,2.49
1514,2012,Pennsylvania,Average household size,2.49
1515,2013,Pennsylvania,Average household size,2.5
1516,2014,Pennsylvania,Average household size,2.5
1517,2015,Pennsylvania,Average household size,2.5
1518,2005,Rhode Island,Average household size,2.54
1519,2006,Rhode Island,Average household size,2.53
1520,2007,Rhode Island,Average household size,2.53
1521,2008,Rhode Island,Average household size,2.54
1522,2009,Rhode Island,Average household size,2.5
1523,2010,Rhode Island,Average household size,2.51
1524,2011,Rhode Island,Average household size,2.45
1525,2012,Rhode Island,Average household size,2.44
1526,2013,Rhode Island,Average household size,2.49
1527,2014,Rhode Island,Average household size,2.47
1528,2015,Rhode Island,Average household size,2.49
1529,2005,South Carolina,Average household size,2.51
1530,2006,South Carolina,Average household size,2.52
1531,2007,South Carolina,Average household size,2.5
1532,2008,South Carolina,Average household size,2.55
1533,2009,South Carolina,Average household size,2.55
1534,2010,South Carolina,Average household size,2.55
1535,2011,South Carolina,Average household size,2.57
1536,2012,South Carolina,Average household size,2.57
1537,2013,South Carolina,Average household size,2.58
1538,2014,South Carolina,Average household size,2.57
1539,2015,South Carolina,Average household size,2.56
1540,2005,South Dakota,Average household size,2.4
1541,2006,South Dakota,Average household size,2.41
1542,2007,South Dakota,Average household size,2.45
1543,2008,South Dakota,Average household size,2.42
1544,2009,South Dakota,Average household size,2.47
1545,2010,South Dakota,Average household size,2.45
1546,2011,South Dakota,Average household size,2.44
1547,2012,South Dakota,Average household size,2.47
1548,2013,South Dakota,Average household size,2.45
1549,2014,South Dakota,Average household size,2.45
1550,2015,South Dakota,Average household size,2.43
1551,2005,Tennessee,Average household size,2.46
1552,2006,Tennessee,Average household size,2.48
1553,2007,Tennessee,Average household size,2.49
1554,2008,Tennessee,Average household size,2.49
1555,2009,Tennessee,Average household size,2.51
1556,2010,Tennessee,Average household size,2.54
1557,2011,Tennessee,Average household size,2.53
1558,2012,Tennessee,Average household size,2.54
1559,2013,Tennessee,Average household size,2.55
1560,2014,Tennessee,Average household size,2.55
1561,2015,Tennessee,Average household size,2.55
1562,2005,Texas,Average household size,2.79
1563,2006,Texas,Average household size,2.83
1564,2007,Texas,Average household size,2.83
1565,2008,Texas,Average household size,2.82
1566,2009,Texas,Average household size,2.84
1567,2010,Texas,Average household size,2.82
1568,2011,Texas,Average household size,2.84
1569,2012,Texas,Average household size,2.84
1570,2013,Texas,Average household size,2.84
1571,2014,Texas,Average household size,2.84
1572,2015,Texas,Average household size,2.85
1573,2005,Utah,Average household size,3.07
1574,2006,Utah,Average household size,3.08
1575,2007,Utah,Average household size,3.11
1576,2008,Utah,Average household size,3.15
1577,2009,Utah,Average household size,3.17
1578,2010,Utah,Average household size,3.1
1579,2011,Utah,Average household size,3.13
1580,2012,Utah,Average household size,3.14
1581,2013,Utah,Average household size,3.17
1582,2014,Utah,Average household size,3.16
1583,2015,Utah,Average household size,3.17
1584,2005,Vermont,Average household size,2.42
1585,2006,Vermont,Average household size,2.38
1586,2007,Vermont,Average household size,2.38
1587,2008,Vermont,Average household size,2.4
1588,2009,Vermont,Average household size,2.38
1589,2010,Vermont,Average household size,2.34
1590,2011,Vermont,Average household size,2.34
1591,2012,Vermont,Average household size,2.32
1592,2013,Vermont,Average household size,2.37
1593,2014,Vermont,Average household size,2.34
1594,2015,Vermont,Average household size,2.36
1595,2005,Virginia,Average household size,2.54
1596,2006,Virginia,Average household size,2.55
1597,2007,Virginia,Average household size,2.55
1598,2008,Virginia,Average household size,2.54
1599,2009,Virginia,Average household size,2.57
1600,2010,Virginia,Average household size,2.6
1601,2011,Virginia,Average household size,2.63
1602,2012,Virginia,Average household size,2.61
1603,2013,Virginia,Average household size,2.62
1604,2014,Virginia,Average household size,2.62
1605,2015,Virginia,Average household size,2.62
1606,2005,Washington,Average household size,2.51
1607,2006,Washington,Average household size,2.53
1608,2007,Washington,Average household size,2.53
1609,2008,Washington,Average household size,2.51
1610,2009,Washington,Average household size,2.55
1611,2010,Washington,Average household size,2.53
1612,2011,Washington,Average household size,2.54
1613,2012,Washington,Average household size,2.56
1614,2013,Washington,Average household size,2.58
1615,2014,Washington,Average household size,2.58
1616,2015,Washington,Average household size,2.58
1617,2005,West Virginia,Average household size,2.39
1618,2006,West Virginia,Average household size,2.39
1619,2007,West Virginia,Average household size,2.41
1620,2008,West Virginia,Average household size,2.36
1621,2009,West Virginia,Average household size,2.37
1622,2010,West Virginia,Average household size,2.43
1623,2011,West Virginia,Average household size,2.46
1624,2012,West Virginia,Average household size,2.44
1625,2013,West Virginia,Average household size,2.44
1626,2014,West Virginia,Average household size,2.45
1627,2015,West Virginia,Average household size,2.44
1628,2005,Wisconsin,Average household size,2.42
1629,2006,Wisconsin,Average household size,2.42
1630,2007,Wisconsin,Average household size,2.43
1631,2008,Wisconsin,Average household size,2.43
1632,2009,Wisconsin,Average household size,2.42
1633,2010,Wisconsin,Average household size,2.43
1634,2011,Wisconsin,Average household size,2.44
1635,2012,Wisconsin,Average household size,2.44
1636,2013,Wisconsin,Average household size,2.44
1637,2014,Wisconsin,Average household size,2.43
1638,2015,Wisconsin,Average household size,2.42
1639,2005,Wyoming,Average household size,2.42
1640,2006,Wyoming,Average household size,2.42
1641,2007,Wyoming,Average household size,2.47
1642,2008,Wyoming,Average household size,2.48
1643,2009,Wyoming,Average household size,2.48
1644,2010,Wyoming,Average household size,2.47
1645,2011,Wyoming,Average household size,2.49
1646,2012,Wyoming,Average household size,2.52
1647,2013,Wyoming,Average household size,2.54
1648,2014,Wyoming,Average household size,2.45
1649,2015,Wyoming,Average household size,2.5
1650,2005,Alabama,Poverty rate,13.7
1651,2006,Alabama,Poverty rate,12.6
1652,2007,Alabama,Poverty rate,13.1
1653,2008,Alabama,Poverty rate,12
1654,2009,Alabama,Poverty rate,13.4
1655,2010,Alabama,Poverty rate,14.7
1656,2011,Alabama,Poverty rate,14.9
1657,2012,Alabama,Poverty rate,14.7
1658,2013,Alabama,Poverty rate,14.3
1659,2014,Alabama,Poverty rate,15
1660,2015,Alabama,Poverty rate,13.7
1661,2005,Alaska,Poverty rate,8.3
1662,2006,Alaska,Poverty rate,8.2
1663,2007,Alaska,Poverty rate,6.5
1664,2008,Alaska,Poverty rate,5.7
1665,2009,Alaska,Poverty rate,6.2
1666,2010,Alaska,Poverty rate,7.2
1667,2011,Alaska,Poverty rate,6.9
1668,2012,Alaska,Poverty rate,7.5
1669,2013,Alaska,Poverty rate,5.9
1670,2014,Alaska,Poverty rate,7.9
1671,2015,Alaska,Poverty rate,7
1672,2005,Arizona,Poverty rate,10.9
1673,2006,Arizona,Poverty rate,10.1
1674,2007,Arizona,Poverty rate,10.2
1675,2008,Arizona,Poverty rate,10.3
1676,2009,Arizona,Poverty rate,11.6
1677,2010,Arizona,Poverty rate,12.5
1678,2011,Arizona,Poverty rate,14.1
1679,2012,Arizona,Poverty rate,13.6
1680,2013,Arizona,Poverty rate,13.6
1681,2014,Arizona,Poverty rate,13.2
1682,2015,Arizona,Poverty rate,12.5
1683,2005,Arkansas,Poverty rate,13.4
1684,2006,Arkansas,Poverty rate,13.1
1685,2007,Arkansas,Poverty rate,13.7
1686,2008,Arkansas,Poverty rate,13
1687,2009,Arkansas,Poverty rate,14.8
1688,2010,Arkansas,Poverty rate,14.1
1689,2011,Arkansas,Poverty rate,14.9
1690,2012,Arkansas,Poverty rate,14.6
1691,2013,Arkansas,Poverty rate,14.5
1692,2014,Arkansas,Poverty rate,13.8
1693,2015,Arkansas,Poverty rate,13.7
1694,2005,California,Poverty rate,10.3
1695,2006,California,Poverty rate,9.7
1696,2007,California,Poverty rate,9.3
1697,2008,California,Poverty rate,10
1698,2009,California,Poverty rate,10.6
1699,2010,California,Poverty rate,11.8
1700,2011,California,Poverty rate,12.4
1701,2012,California,Poverty rate,12.9
1702,2013,California,Poverty rate,12.6
1703,2014,California,Poverty rate,12.2
1704,2015,California,Poverty rate,11.3
1705,2005,Colorado,Poverty rate,8.3
1706,2006,Colorado,Poverty rate,8.4
1707,2007,Colorado,Poverty rate,8.4
1708,2008,Colorado,Poverty rate,7.8
1709,2009,Colorado,Poverty rate,8.9
1710,2010,Colorado,Poverty rate,9.4
1711,2011,Colorado,Poverty rate,9.1
1712,2012,Colorado,Poverty rate,9.3
1713,2013,Colorado,Poverty rate,8.7
1714,2014,Colorado,Poverty rate,8
1715,2015,Colorado,Poverty rate,7.6
1716,2005,Connecticut,Poverty rate,6.2
1717,2006,Connecticut,Poverty rate,5.9
1718,2007,Connecticut,Poverty rate,5.7
1719,2008,Connecticut,Poverty rate,6.7
1720,2009,Connecticut,Poverty rate,6.7
1721,2010,Connecticut,Poverty rate,7.2
1722,2011,Connecticut,Poverty rate,7.9
1723,2012,Connecticut,Poverty rate,7.9
1724,2013,Connecticut,Poverty rate,7.6
1725,2014,Connecticut,Poverty rate,7.5
1726,2015,Connecticut,Poverty rate,7.4
1727,2005,Delaware,Poverty rate,7.6
1728,2006,Delaware,Poverty rate,7.6
1729,2007,Delaware,Poverty rate,7.5
1730,2008,Delaware,Poverty rate,6.9
1731,2009,Delaware,Poverty rate,7.1
1732,2010,Delaware,Poverty rate,8.1
1733,2011,Delaware,Poverty rate,8
1734,2012,Delaware,Poverty rate,8.2
1735,2013,Delaware,Poverty rate,8.5
1736,2014,Delaware,Poverty rate,8.5
1737,2015,Delaware,Poverty rate,8.7
1738,2005,Florida,Poverty rate,9.7
1739,2006,Florida,Poverty rate,9
1740,2007,Florida,Poverty rate,8.6
1741,2008,Florida,Poverty rate,9.5
1742,2009,Florida,Poverty rate,10.7
1743,2010,Florida,Poverty rate,12
1744,2011,Florida,Poverty rate,12.4
1745,2012,Florida,Poverty rate,12.6
1746,2013,Florida,Poverty rate,12.4
1747,2014,Florida,Poverty rate,12
1748,2015,Florida,Poverty rate,11.3
1749,2005,Georgia,Poverty rate,11.6
1750,2006,Georgia,Poverty rate,11.1
1751,2007,Georgia,Poverty rate,10.7
1752,2008,Georgia,Poverty rate,11.1
1753,2009,Georgia,Poverty rate,12.7
1754,2010,Georgia,Poverty rate,13.7
1755,2011,Georgia,Poverty rate,14.7
1756,2012,Georgia,Poverty rate,15
1757,2013,Georgia,Poverty rate,14.5
1758,2014,Georgia,Poverty rate,14.1
1759,2015,Georgia,Poverty rate,13
1760,2005,Hawaii,Poverty rate,7.7
1761,2006,Hawaii,Poverty rate,7.1
1762,2007,Hawaii,Poverty rate,5.4
1763,2008,Hawaii,Poverty rate,6
1764,2009,Hawaii,Poverty rate,7.5
1765,2010,Hawaii,Poverty rate,7.4
1766,2011,Hawaii,Poverty rate,8.6
1767,2012,Hawaii,Poverty rate,8.6
1768,2013,Hawaii,Poverty rate,7.1
1769,2014,Hawaii,Poverty rate,7.8
1770,2015,Hawaii,Poverty rate,6.9
1771,2005,Idaho,Poverty rate,10.3
1772,2006,Idaho,Poverty rate,9.3
1773,2007,Idaho,Poverty rate,8.9
1774,2008,Idaho,Poverty rate,9.4
1775,2009,Idaho,Poverty rate,9.9
1776,2010,Idaho,Poverty rate,11.6
1777,2011,Idaho,Poverty rate,11.6
1778,2012,Idaho,Poverty rate,11.7
1779,2013,Idaho,Poverty rate,10.4
1780,2014,Idaho,Poverty rate,10.2
1781,2015,Idaho,Poverty rate,10.9
1782,2005,Illinois,Poverty rate,9.2
1783,2006,Illinois,Poverty rate,9.1
1784,2007,Illinois,Poverty rate,8.8
1785,2008,Illinois,Poverty rate,9
1786,2009,Illinois,Poverty rate,9.9
1787,2010,Illinois,Poverty rate,10.1
1788,2011,Illinois,Poverty rate,11
1789,2012,Illinois,Poverty rate,10.9
1790,2013,Illinois,Poverty rate,10.8
1791,2014,Illinois,Poverty rate,10.5
1792,2015,Illinois,Poverty rate,9.8
1793,2005,Indiana,Poverty rate,9
1794,2006,Indiana,Poverty rate,9
1795,2007,Indiana,Poverty rate,8.7
1796,2008,Indiana,Poverty rate,9.6
1797,2009,Indiana,Poverty rate,10.7
1798,2010,Indiana,Poverty rate,11
1799,2011,Indiana,Poverty rate,11.7
1800,2012,Indiana,Poverty rate,11.3
1801,2013,Indiana,Poverty rate,11.9
1802,2014,Indiana,Poverty rate,10.9
1803,2015,Indiana,Poverty rate,10.2
1804,2005,Iowa,Poverty rate,7.5
1805,2006,Iowa,Poverty rate,7.3
1806,2007,Iowa,Poverty rate,7.4
1807,2008,Iowa,Poverty rate,7.3
1808,2009,Iowa,Poverty rate,7.7
1809,2010,Iowa,Poverty rate,8.2
1810,2011,Iowa,Poverty rate,8.1
1811,2012,Iowa,Poverty rate,8.8
1812,2013,Iowa,Poverty rate,8.1
1813,2014,Iowa,Poverty rate,7.9
1814,2015,Iowa,Poverty rate,7.7
1815,2005,Kansas,Poverty rate,8.4
1816,2006,Kansas,Poverty rate,8.6
1817,2007,Kansas,Poverty rate,7.7
1818,2008,Kansas,Poverty rate,7.7
1819,2009,Kansas,Poverty rate,9
1820,2010,Kansas,Poverty rate,9.5
1821,2011,Kansas,Poverty rate,9.2
1822,2012,Kansas,Poverty rate,9.3
1823,2013,Kansas,Poverty rate,9.6
1824,2014,Kansas,Poverty rate,9.2
1825,2015,Kansas,Poverty rate,8.4
1826,2005,Kentucky,Poverty rate,13.4
1827,2006,Kentucky,Poverty rate,13.1
1828,2007,Kentucky,Poverty rate,13.2
1829,2008,Kentucky,Poverty rate,13.1
1830,2009,Kentucky,Poverty rate,14.4
1831,2010,Kentucky,Poverty rate,14.5
1832,2011,Kentucky,Poverty rate,14.7
1833,2012,Kentucky,Poverty rate,14.8
1834,2013,Kentucky,Poverty rate,14.5
1835,2014,Kentucky,Poverty rate,14.5
1836,2015,Kentucky,Poverty rate,14
1837,2005,Louisiana,Poverty rate,16.1
1838,2006,Louisiana,Poverty rate,14.4
1839,2007,Louisiana,Poverty rate,14.6
1840,2008,Louisiana,Poverty rate,13.4
1841,2009,Louisiana,Poverty rate,13.3
1842,2010,Louisiana,Poverty rate,14.5
1843,2011,Louisiana,Poverty rate,16.1
1844,2012,Louisiana,Poverty rate,15.5
1845,2013,Louisiana,Poverty rate,15.3
1846,2014,Louisiana,Poverty rate,14.9
1847,2015,Louisiana,Poverty rate,14.7
1848,2005,Maine,Poverty rate,9
1849,2006,Maine,Poverty rate,8.7
1850,2007,Maine,Poverty rate,7.9
1851,2008,Maine,Poverty rate,8.6
1852,2009,Maine,Poverty rate,8.3
1853,2010,Maine,Poverty rate,8.8
1854,2011,Maine,Poverty rate,9.3
1855,2012,Maine,Poverty rate,9.8
1856,2013,Maine,Poverty rate,9.6
1857,2014,Maine,Poverty rate,9.7
1858,2015,Maine,Poverty rate,8.9
1859,2005,Maryland,Poverty rate,6
1860,2006,Maryland,Poverty rate,5.3
1861,2007,Maryland,Poverty rate,5.4
1862,2008,Maryland,Poverty rate,5.4
1863,2009,Maryland,Poverty rate,6.1
1864,2010,Maryland,Poverty rate,6.6
1865,2011,Maryland,Poverty rate,7.1
1866,2012,Maryland,Poverty rate,7.3
1867,2013,Maryland,Poverty rate,7.1
1868,2014,Maryland,Poverty rate,7.1
1869,2015,Maryland,Poverty rate,6.7
1870,2005,Massachusetts,Poverty rate,7.6
1871,2006,Massachusetts,Poverty rate,7
1872,2007,Massachusetts,Poverty rate,7.3
1873,2008,Massachusetts,Poverty rate,7.1
1874,2009,Massachusetts,Poverty rate,7
1875,2010,Massachusetts,Poverty rate,8.2
1876,2011,Massachusetts,Poverty rate,8.3
1877,2012,Massachusetts,Poverty rate,8.5
1878,2013,Massachusetts,Poverty rate,8.6
1879,2014,Massachusetts,Poverty rate,8.3
1880,2015,Massachusetts,Poverty rate,7.9
1881,2005,Michigan,Poverty rate,9.9
1882,2006,Michigan,Poverty rate,9.6
1883,2007,Michigan,Poverty rate,10.1
1884,2008,Michigan,Poverty rate,10.5
1885,2009,Michigan,Poverty rate,11.6
1886,2010,Michigan,Poverty rate,12.1
1887,2011,Michigan,Poverty rate,12.5
1888,2012,Michigan,Poverty rate,12.6
1889,2013,Michigan,Poverty rate,12.3
1890,2014,Michigan,Poverty rate,11.4
1891,2015,Michigan,Poverty rate,11.1
1892,2005,Minnesota,Poverty rate,6.1
1893,2006,Minnesota,Poverty rate,6.5
1894,2007,Minnesota,Poverty rate,6.5
1895,2008,Minnesota,Poverty rate,6.2
1896,2009,Minnesota,Poverty rate,7
1897,2010,Minnesota,Poverty rate,7.5
1898,2011,Minnesota,Poverty rate,7.6
1899,2012,Minnesota,Poverty rate,7.6
1900,2013,Minnesota,Poverty rate,7.2
1901,2014,Minnesota,Poverty rate,7.5
1902,2015,Minnesota,Poverty rate,6.3
1903,2005,Mississippi,Poverty rate,16.8
1904,2006,Mississippi,Poverty rate,16.8
1905,2007,Mississippi,Poverty rate,16.3
1906,2008,Mississippi,Poverty rate,17
1907,2009,Mississippi,Poverty rate,17.3
1908,2010,Mississippi,Poverty rate,17.8
1909,2011,Mississippi,Poverty rate,17.4
1910,2012,Mississippi,Poverty rate,19.2
1911,2013,Mississippi,Poverty rate,19
1912,2014,Mississippi,Poverty rate,16.5
1913,2015,Mississippi,Poverty rate,17
1914,2005,Missouri,Poverty rate,10
1915,2006,Missouri,Poverty rate,10
1916,2007,Missouri,Poverty rate,9.5
1917,2008,Missouri,Poverty rate,9.7
1918,2009,Missouri,Poverty rate,10.9
1919,2010,Missouri,Poverty rate,10.6
1920,2011,Missouri,Poverty rate,11.5
1921,2012,Missouri,Poverty rate,11.7
1922,2013,Missouri,Poverty rate,11.5
1923,2014,Missouri,Poverty rate,10.7
1924,2015,Missouri,Poverty rate,10.2
1925,2005,Montana,Poverty rate,10.5
1926,2006,Montana,Poverty rate,8.6
1927,2007,Montana,Poverty rate,9.7
1928,2008,Montana,Poverty rate,9.7
1929,2009,Montana,Poverty rate,9.9
1930,2010,Montana,Poverty rate,10
1931,2011,Montana,Poverty rate,9.7
1932,2012,Montana,Poverty rate,10.2
1933,2013,Montana,Poverty rate,11.3
1934,2014,Montana,Poverty rate,9.5
1935,2015,Montana,Poverty rate,9.3
1936,2005,Nebraska,Poverty rate,8.2
1937,2006,Nebraska,Poverty rate,7.8
1938,2007,Nebraska,Poverty rate,8.2
1939,2008,Nebraska,Poverty rate,6.8
1940,2009,Nebraska,Poverty rate,8.4
1941,2010,Nebraska,Poverty rate,8.8
1942,2011,Nebraska,Poverty rate,9.1
1943,2012,Nebraska,Poverty rate,9.1
1944,2013,Nebraska,Poverty rate,8.8
1945,2014,Nebraska,Poverty rate,8.7
1946,2015,Nebraska,Poverty rate,8.5
1947,2005,Nevada,Poverty rate,8.9
1948,2006,Nevada,Poverty rate,7.6
1949,2007,Nevada,Poverty rate,7.5
1950,2008,Nevada,Poverty rate,7.9
1951,2009,Nevada,Poverty rate,9
1952,2010,Nevada,Poverty rate,11.1
1953,2011,Nevada,Poverty rate,11.9
1954,2012,Nevada,Poverty rate,12.6
1955,2013,Nevada,Poverty rate,11.6
1956,2014,Nevada,Poverty rate,11
1957,2015,Nevada,Poverty rate,10.9
1958,2005,New Hampshire,Poverty rate,5.3
1959,2006,New Hampshire,Poverty rate,4.9
1960,2007,New Hampshire,Poverty rate,4.6
1961,2008,New Hampshire,Poverty rate,5
1962,2009,New Hampshire,Poverty rate,5.5
1963,2010,New Hampshire,Poverty rate,5.3
1964,2011,New Hampshire,Poverty rate,5.6
1965,2012,New Hampshire,Poverty rate,6.7
1966,2013,New Hampshire,Poverty rate,5.1
1967,2014,New Hampshire,Poverty rate,6
1968,2015,New Hampshire,Poverty rate,5
1969,2005,New Jersey,Poverty rate,6.8
1970,2006,New Jersey,Poverty rate,6.4
1971,2007,New Jersey,Poverty rate,6.3
1972,2008,New Jersey,Poverty rate,6.2
1973,2009,New Jersey,Poverty rate,7
1974,2010,New Jersey,Poverty rate,7.8
1975,2011,New Jersey,Poverty rate,7.8
1976,2012,New Jersey,Poverty rate,8.2
1977,2013,New Jersey,Poverty rate,8.7
1978,2014,New Jersey,Poverty rate,8.3
1979,2015,New Jersey,Poverty rate,8.1
1980,2005,New Mexico,Poverty rate,14.3
1981,2006,New Mexico,Poverty rate,13.8
1982,2007,New Mexico,Poverty rate,14.2
1983,2008,New Mexico,Poverty rate,12.6
1984,2009,New Mexico,Poverty rate,13.6
1985,2010,New Mexico,Poverty rate,15.7
1986,2011,New Mexico,Poverty rate,16.6
1987,2012,New Mexico,Poverty rate,16.8
1988,2013,New Mexico,Poverty rate,16.3
1989,2014,New Mexico,Poverty rate,16.5
1990,2015,New Mexico,Poverty rate,14.8
1991,2005,New York,Poverty rate,11.1
1992,2006,New York,Poverty rate,10.9
1993,2007,New York,Poverty rate,10.3
1994,2008,New York,Poverty rate,10.3
1995,2009,New York,Poverty rate,10.8
1996,2010,New York,Poverty rate,11.5
1997,2011,New York,Poverty rate,12.3
1998,2012,New York,Poverty rate,12.2
1999,2013,New York,Poverty rate,12.1
2000,2014,New York,Poverty rate,12.2
2001,2015,New York,Poverty rate,11.6
2002,2005,North Carolina,Poverty rate,11.7
2003,2006,North Carolina,Poverty rate,10.7
2004,2007,North Carolina,Poverty rate,10.6
2005,2008,North Carolina,Poverty rate,10.9
2006,2009,North Carolina,Poverty rate,11.9
2007,2010,North Carolina,Poverty rate,13.3
2008,2011,North Carolina,Poverty rate,13.2
2009,2012,North Carolina,Poverty rate,13.4
2010,2013,North Carolina,Poverty rate,13.1
2011,2014,North Carolina,Poverty rate,12.8
2012,2015,North Carolina,Poverty rate,11.8
2013,2005,North Dakota,Poverty rate,7.5
2014,2006,North Dakota,Poverty rate,7
2015,2007,North Dakota,Poverty rate,7.5
2016,2008,North Dakota,Poverty rate,7.9
