year,state,measure,value,population
2014,Hawaii,Age,38.1,"1,414,538"
2014,Hawaii,People with less than 9 years of education/people with college degree or above,0.1304364,"1,414,538"
2014,Hawaii,Black/white,0.0944734,"1,414,538"
2014,Hawaii,Hispanic/white,0.4403719,"1,414,538"
2015,Hawaii,Labor Force Participation,62,"1,422,052"
2015,Hawaii,Unemployment rate,3.6,"1,422,052"
2015,Hawaii,Average household size,3.11,"1,422,052"
2015,Hawaii,Poverty rate,6.9,"1,422,052"
2015,Hawaii,"Number of corruption convictions per 1,000,000 people",3.49259,"1,422,052"
2015,Hawaii,Gini coefficient,0.4346,"1,422,052"
2015,Hawaii,GDP,53801.68148,"1,422,052"
2015,Hawaii,Log(GDP),10.89306,"1,422,052"
2015,Hawaii,Age,37.7,"1,422,052"
2015,Hawaii,People with less than 9 years of education/people with college degree or above,0.1291907,"1,422,052"
2015,Hawaii,Black/white,0.0908901,"1,422,052"
2015,Hawaii,Hispanic/white,0.4559377,"1,422,052"
2005,Idaho,Labor Force Participation,69.3,"1,428,241"
2005,Idaho,Unemployment rate,4,"1,428,241"
2005,Idaho,Average household size,2.62,"1,428,241"
2005,Idaho,Poverty rate,10.3,"1,428,241"
2005,Idaho,"Number of corruption convictions per 1,000,000 people",0.700162,"1,428,241"
2005,Idaho,Gini coefficient,0.40600002,"1,428,241"
2005,Idaho,GDP,39685.8508,"1,428,241"
2005,Idaho,Log(GDP),10.58875,"1,428,241"
2005,Idaho,Age,34.6,"1,428,241"
2005,Idaho,People with less than 9 years of education/people with college degree or above,0.1950355,"1,428,241"
2005,Idaho,Black/white,0.0042658,"1,428,241"
2005,Idaho,Hispanic/white,0.1045295,"1,428,241"
2006,Idaho,Labor Force Participation,68.8,"1,468,669"
2006,Idaho,Unemployment rate,3.5,"1,468,669"
2006,Idaho,Average household size,2.61,"1,468,669"
2006,Idaho,Poverty rate,9.3,"1,468,669"
2006,Idaho,"Number of corruption convictions per 1,000,000 people",0.680888,"1,468,669"
2006,Idaho,Gini coefficient,0.421,"1,468,669"
2006,Idaho,GDP,39270.9367,"1,468,669"
2006,Idaho,Log(GDP),10.57824,"1,468,669"
2006,Idaho,Age,34.3,"1,468,669"
2006,Idaho,People with less than 9 years of education/people with college degree or above,0.1912854,"1,468,669"
2006,Idaho,Black/white,0.0048252,"1,468,669"
2006,Idaho,Hispanic/white,0.1097585,"1,468,669"
2007,Idaho,Labor Force Participation,67.8,"1,505,105"
2007,Idaho,Unemployment rate,3.1,"1,505,105"
2007,Idaho,Average household size,2.61,"1,505,105"
2007,Idaho,Poverty rate,8.9,"1,505,105"
2007,Idaho,"Number of corruption convictions per 1,000,000 people",0.664408,"1,505,105"
2007,Idaho,Gini coefficient,0.43599999,"1,505,105"
2007,Idaho,GDP,39150.9513,"1,505,105"
2007,Idaho,Log(GDP),10.57518,"1,505,105"
2007,Idaho,Age,34.3,"1,505,105"
2007,Idaho,People with less than 9 years of education/people with college degree or above,0.1586999,"1,505,105"
2007,Idaho,Black/white,0.0065606,"1,505,105"
2007,Idaho,Hispanic/white,0.1149941,"1,505,105"
2008,Idaho,Labor Force Participation,66.6,"1,534,320"
2008,Idaho,Unemployment rate,5.1,"1,534,320"
2008,Idaho,Average household size,2.63,"1,534,320"
2008,Idaho,Poverty rate,9.4,"1,534,320"
2008,Idaho,"Number of corruption convictions per 1,000,000 people",0.656247,"1,534,320"
2008,Idaho,Gini coefficient,0.419,"1,534,320"
2008,Idaho,GDP,39180.71733,"1,534,320"
2008,Idaho,Log(GDP),10.57594,"1,534,320"
2008,Idaho,Age,34.4,"1,534,320"
2008,Idaho,People with less than 9 years of education/people with college degree or above,0.2076496,"1,534,320"
2008,Idaho,Black/white,0.0061399,"1,534,320"
2008,Idaho,Hispanic/white,0.1202297,"1,534,320"
2009,Idaho,Labor Force Participation,65.8,"1,554,439"
2009,Idaho,Unemployment rate,8.8,"1,554,439"
2009,Idaho,Average household size,2.71,"1,554,439"
2009,Idaho,Poverty rate,9.9,"1,554,439"
2009,Idaho,"Number of corruption convictions per 1,000,000 people",0.646914,"1,554,439"
2009,Idaho,Gini coefficient,0.421,"1,554,439"
2009,Idaho,GDP,36930.75678,"1,554,439"
2009,Idaho,Log(GDP),10.5168,"1,554,439"
2009,Idaho,Age,34.2,"1,554,439"
2009,Idaho,People with less than 9 years of education/people with college degree or above,0.1895662,"1,554,439"
2009,Idaho,Black/white,0.007845,"1,554,439"
2009,Idaho,Hispanic/white,0.1266257,"1,554,439"
2010,Idaho,Labor Force Participation,65.3,"1,570,746"
2010,Idaho,Unemployment rate,9,"1,570,746"
2010,Idaho,Average household size,2.67,"1,570,746"
2010,Idaho,Poverty rate,11.6,"1,570,746"
2010,Idaho,"Number of corruption convictions per 1,000,000 people",0,"1,570,746"
2010,Idaho,Gini coefficient,0.433,"1,570,746"
2010,Idaho,GDP,36849.22993,"1,570,746"
2010,Idaho,Log(GDP),10.51459,"1,570,746"
2010,Idaho,Age,34.7,"1,570,746"
2010,Idaho,People with less than 9 years of education/people with college degree or above,0.1725495,"1,570,746"
2010,Idaho,Black/white,0.006719,"1,570,746"
2010,Idaho,Hispanic/white,0.1343079,"1,570,746"
2011,Idaho,Labor Force Participation,64.9,"1,583,910"
2011,Idaho,Unemployment rate,8.3,"1,583,910"
2011,Idaho,Average household size,2.68,"1,583,910"
2011,Idaho,Poverty rate,11.6,"1,583,910"
2011,Idaho,"Number of corruption convictions per 1,000,000 people",1.89276,"1,583,910"
2011,Idaho,Gini coefficient,0.43200001,"1,583,910"
2011,Idaho,GDP,36465.06653,"1,583,910"
2011,Idaho,Log(GDP),10.50411,"1,583,910"
2011,Idaho,Age,35,"1,583,910"
2011,Idaho,People with less than 9 years of education/people with college degree or above,0.1785359,"1,583,910"
2011,Idaho,Black/white,0.0063427,"1,583,910"
2011,Idaho,Hispanic/white,0.13736,"1,583,910"
2012,Idaho,Labor Force Participation,64.5,"1,595,324"
2012,Idaho,Unemployment rate,7.2,"1,595,324"
2012,Idaho,Average household size,2.69,"1,595,324"
2012,Idaho,Poverty rate,11.7,"1,595,324"
2012,Idaho,"Number of corruption convictions per 1,000,000 people",3.76004,"1,595,324"
2012,Idaho,Gini coefficient,0.43020001,"1,595,324"
2012,Idaho,GDP,36199.4788,"1,595,324"
2012,Idaho,Log(GDP),10.4968,"1,595,324"
2012,Idaho,Age,35.2,"1,595,324"
2012,Idaho,People with less than 9 years of education/people with college degree or above,0.160679,"1,595,324"
2012,Idaho,Black/white,0.0065811,"1,595,324"
2012,Idaho,Hispanic/white,0.1391188,"1,595,324"
2013,Idaho,Labor Force Participation,63.8,"1,611,206"
2013,Idaho,Unemployment rate,6.1,"1,611,206"
2013,Idaho,Average household size,2.69,"1,611,206"
2013,Idaho,Poverty rate,10.4,"1,611,206"
2013,Idaho,"Number of corruption convictions per 1,000,000 people",2.48118,"1,611,206"
2013,Idaho,Gini coefficient,0.43759999,"1,611,206"
2013,Idaho,GDP,37112.53269,"1,611,206"
2013,Idaho,Log(GDP),10.52171,"1,611,206"
2013,Idaho,Age,35.7,"1,611,206"
2013,Idaho,People with less than 9 years of education/people with college degree or above,0.1638679,"1,611,206"
2013,Idaho,Black/white,0.0067844,"1,611,206"
2013,Idaho,Hispanic/white,0.1418855,"1,611,206"
2014,Idaho,Labor Force Participation,63.6,"1,631,112"
2014,Idaho,Unemployment rate,4.8,"1,631,112"
2014,Idaho,Average household size,2.71,"1,631,112"
2014,Idaho,Poverty rate,10.2,"1,631,112"
2014,Idaho,"Number of corruption convictions per 1,000,000 people",0.611821,"1,631,112"
2014,Idaho,Gini coefficient,0.45410001,"1,631,112"
2014,Idaho,GDP,37545.16923,"1,631,112"
2014,Idaho,Log(GDP),10.5333,"1,631,112"
2014,Idaho,Age,35.9,"1,631,112"
2014,Idaho,People with less than 9 years of education/people with college degree or above,0.1550845,"1,631,112"
2014,Idaho,Black/white,0.008392,"1,631,112"
2014,Idaho,Hispanic/white,0.1455423,"1,631,112"
2015,Idaho,Labor Force Participation,63.9,"1,651,059"
2015,Idaho,Unemployment rate,4.2,"1,651,059"
2015,Idaho,Average household size,2.72,"1,651,059"
2015,Idaho,Poverty rate,10.9,"1,651,059"
2015,Idaho,"Number of corruption convictions per 1,000,000 people",1.81277,"1,651,059"
2015,Idaho,Gini coefficient,0.45249999,"1,651,059"
2015,Idaho,GDP,38193.85814,"1,651,059"
2015,Idaho,Log(GDP),10.55043,"1,651,059"
2015,Idaho,Age,35.8,"1,651,059"
2015,Idaho,People with less than 9 years of education/people with college degree or above,0.1434752,"1,651,059"
2015,Idaho,Black/white,0.0064578,"1,651,059"
2015,Idaho,Hispanic/white,0.1461851,"1,651,059"
2005,Illinois,Labor Force Participation,66.6,"12,609,903"
2005,Illinois,Unemployment rate,5.7,"12,609,903"
2005,Illinois,Average household size,2.65,"12,609,903"
2005,Illinois,Poverty rate,9.2,"12,609,903"
2005,Illinois,"Number of corruption convictions per 1,000,000 people",5.8684,"12,609,903"
2005,Illinois,Gini coefficient,0.45800003,"12,609,903"
2005,Illinois,GDP,55134.99988,"12,609,903"
2005,Illinois,Log(GDP),10.91754,"12,609,903"
2005,Illinois,Age,35.6,"12,609,903"
2005,Illinois,People with less than 9 years of education/people with college degree or above,0.2134968,"12,609,903"
2005,Illinois,Black/white,0.2193027,"12,609,903"
2005,Illinois,Hispanic/white,0.2210173,"12,609,903"
2006,Illinois,Labor Force Participation,67.5,"12,643,955"
2006,Illinois,Unemployment rate,4.5,"12,643,955"
2006,Illinois,Average household size,2.65,"12,643,955"
2006,Illinois,Poverty rate,9.1,"12,643,955"
2006,Illinois,"Number of corruption convictions per 1,000,000 people",3.00538,"12,643,955"
2006,Illinois,Gini coefficient,0.46200001,"12,643,955"
2006,Illinois,GDP,54901.72238,"12,643,955"
2006,Illinois,Log(GDP),10.9133,"12,643,955"
2006,Illinois,Age,35.7,"12,643,955"
2006,Illinois,People with less than 9 years of education/people with college degree or above,0.2277605,"12,643,955"
2006,Illinois,Black/white,0.224897,"12,643,955"
2006,Illinois,Hispanic/white,0.2259557,"12,643,955"
2007,Illinois,Labor Force Participation,68.4,"12,695,866"
2007,Illinois,Unemployment rate,5,"12,695,866"
2007,Illinois,Average household size,2.63,"12,695,866"
2007,Illinois,Poverty rate,8.8,"12,695,866"
2007,Illinois,"Number of corruption convictions per 1,000,000 people",3.46569,"12,695,866"
2007,Illinois,Gini coefficient,0.46599999,"12,695,866"
2007,Illinois,GDP,55452.93933,"12,695,866"
2007,Illinois,Log(GDP),10.92329,"12,695,866"
2007,Illinois,Age,35.9,"12,695,866"
2007,Illinois,People with less than 9 years of education/people with college degree or above,0.2132294,"12,695,866"
2007,Illinois,Black/white,0.2238645,"12,695,866"
2007,Illinois,Hispanic/white,0.229858,"12,695,866"
2008,Illinois,Labor Force Participation,67.8,"12,747,038"
2008,Illinois,Unemployment rate,6.3,"12,747,038"
2008,Illinois,Average household size,2.63,"12,747,038"
2008,Illinois,Poverty rate,9,"12,747,038"
2008,Illinois,"Number of corruption convictions per 1,000,000 people",4.34056,"12,747,038"
2008,Illinois,Gini coefficient,0.46700001,"12,747,038"
2008,Illinois,GDP,54212.67412,"12,747,038"
2008,Illinois,Log(GDP),10.90067,"12,747,038"
2008,Illinois,Age,36,"12,747,038"
2008,Illinois,People with less than 9 years of education/people with college degree or above,0.2155311,"12,747,038"
2008,Illinois,Black/white,0.2261215,"12,747,038"
2008,Illinois,Hispanic/white,0.2365763,"12,747,038"
2009,Illinois,Labor Force Participation,67,"12,796,778"
2009,Illinois,Unemployment rate,10.2,"12,796,778"
2009,Illinois,Average household size,2.64,"12,796,778"
2009,Illinois,Poverty rate,9.9,"12,796,778"
2009,Illinois,"Number of corruption convictions per 1,000,000 people",4.4925,"12,796,778"
2009,Illinois,Gini coefficient,0.46900001,"12,796,778"
2009,Illinois,GDP,52900.60212,"12,796,778"
2009,Illinois,Log(GDP),10.87617,"12,796,778"
2009,Illinois,Age,36.2,"12,796,778"
2009,Illinois,People with less than 9 years of education/people with college degree or above,0.1985657,"12,796,778"
2009,Illinois,Black/white,0.2257408,"12,796,778"
2009,Illinois,Hispanic/white,0.2367598,"12,796,778"
2010,Illinois,Labor Force Participation,66.9,"12,840,503"
2010,Illinois,Unemployment rate,10.4,"12,840,503"
2010,Illinois,Average household size,2.64,"12,840,503"
2010,Illinois,Poverty rate,10.1,"12,840,503"
2010,Illinois,"Number of corruption convictions per 1,000,000 people",4.04885,"12,840,503"
2010,Illinois,Gini coefficient,0.465,"12,840,503"
2010,Illinois,GDP,54111.39115,"12,840,503"
2010,Illinois,Log(GDP),10.8988,"12,840,503"
2010,Illinois,Age,36.6,"12,840,503"
2010,Illinois,People with less than 9 years of education/people with college degree or above,0.1815062,"12,840,503"
2010,Illinois,Black/white,0.2284121,"12,840,503"
2010,Illinois,Hispanic/white,0.2494286,"12,840,503"
2011,Illinois,Labor Force Participation,66.2,"12,867,454"
2011,Illinois,Unemployment rate,9.7,"12,867,454"
2011,Illinois,Average household size,2.65,"12,867,454"
2011,Illinois,Poverty rate,11,"12,867,454"
2011,Illinois,"Number of corruption convictions per 1,000,000 people",3.18589,"12,867,454"
2011,Illinois,Gini coefficient,0.4718,"12,867,454"
2011,Illinois,GDP,54941.81527,"12,867,454"
2011,Illinois,Log(GDP),10.91403,"12,867,454"
2011,Illinois,Age,36.8,"12,867,454"
2011,Illinois,People with less than 9 years of education/people with college degree or above,0.1818626,"12,867,454"
2011,Illinois,Black/white,0.2298534,"12,867,454"
2011,Illinois,Hispanic/white,0.2556694,"12,867,454"
2012,Illinois,Labor Force Participation,65.9,"12,882,510"
2012,Illinois,Unemployment rate,9,"12,882,510"
2012,Illinois,Average household size,2.64,"12,882,510"
2012,Illinois,Poverty rate,10.9,"12,882,510"
2012,Illinois,"Number of corruption convictions per 1,000,000 people",3.41741,"12,882,510"
2012,Illinois,Gini coefficient,0.4716,"12,882,510"
2012,Illinois,GDP,55975.53504,"12,882,510"
2012,Illinois,Log(GDP),10.93267,"12,882,510"
2012,Illinois,Age,37,"12,882,510"
2012,Illinois,People with less than 9 years of education/people with college degree or above,0.1774172,"12,882,510"
2012,Illinois,Black/white,0.2289977,"12,882,510"
2012,Illinois,Hispanic/white,0.2594625,"12,882,510"
2013,Illinois,Labor Force Participation,65.3,"12,895,129"
2013,Illinois,Unemployment rate,9,"12,895,129"
2013,Illinois,Average household size,2.63,"12,895,129"
2013,Illinois,Poverty rate,10.8,"12,895,129"
2013,Illinois,"Number of corruption convictions per 1,000,000 people",5.35626,"12,895,129"
2013,Illinois,Gini coefficient,0.4824,"12,895,129"
2013,Illinois,GDP,56249.92575,"12,895,129"
2013,Illinois,Log(GDP),10.93756,"12,895,129"
2013,Illinois,Age,37.2,"12,895,129"
2013,Illinois,People with less than 9 years of education/people with college degree or above,0.171631,"12,895,129"
2013,Illinois,Black/white,0.2271166,"12,895,129"
2013,Illinois,Hispanic/white,0.2624128,"12,895,129"
2014,Illinois,Labor Force Participation,64.8,"12,884,493"
2014,Illinois,Unemployment rate,7.1,"12,884,493"
2014,Illinois,Average household size,2.64,"12,884,493"
2014,Illinois,Poverty rate,10.5,"12,884,493"
2014,Illinois,"Number of corruption convictions per 1,000,000 people",2.48436,"12,884,493"
2014,Illinois,Gini coefficient,0.4765,"12,884,493"
2014,Illinois,GDP,57001.90686,"12,884,493"
2014,Illinois,Log(GDP),10.95084,"12,884,493"
2014,Illinois,Age,37.5,"12,884,493"
2014,Illinois,People with less than 9 years of education/people with college degree or above,0.1592786,"12,884,493"
2014,Illinois,Black/white,0.2295308,"12,884,493"
2014,Illinois,Hispanic/white,0.2687234,"12,884,493"
2015,Illinois,Labor Force Participation,64.7,"12,858,913"
2015,Illinois,Unemployment rate,6,"12,858,913"
2015,Illinois,Average household size,2.62,"12,858,913"
2015,Illinois,Poverty rate,9.8,"12,858,913"
2015,Illinois,"Number of corruption convictions per 1,000,000 people",1.47745,"12,858,913"
2015,Illinois,Gini coefficient,0.4817,"12,858,913"
2015,Illinois,GDP,57676.78316,"12,858,913"
2015,Illinois,Log(GDP),10.96261,"12,858,913"
2015,Illinois,Age,37.7,"12,858,913"
2015,Illinois,People with less than 9 years of education/people with college degree or above,0.1600002,"12,858,913"
2015,Illinois,Black/white,0.232074,"12,858,913"
2015,Illinois,Hispanic/white,0.27326,"12,858,913"
2005,Indiana,Labor Force Participation,67.4,"6,278,616"
2005,Indiana,Unemployment rate,5.5,"6,278,616"
2005,Indiana,Average household size,2.49,"6,278,616"
2005,Indiana,Poverty rate,9,"6,278,616"
2005,Indiana,"Number of corruption convictions per 1,000,000 people",2.22979,"6,278,616"
2005,Indiana,Gini coefficient,0.43500003,"6,278,616"
2005,Indiana,GDP,46852.98502,"6,278,616"
2005,Indiana,Log(GDP),10.75477,"6,278,616"
2005,Indiana,Age,36.1,"6,278,616"
2005,Indiana,People with less than 9 years of education/people with college degree or above,0.2066559,"6,278,616"
2005,Indiana,Black/white,0.100483,"6,278,616"
2005,Indiana,Hispanic/white,0.0540867,"6,278,616"
2006,Indiana,Labor Force Participation,67.5,"6,332,669"
2006,Indiana,Unemployment rate,5,"6,332,669"
2006,Indiana,Average household size,2.52,"6,332,669"
2006,Indiana,Poverty rate,9,"6,332,669"
2006,Indiana,"Number of corruption convictions per 1,000,000 people",1.4212,"6,332,669"
2006,Indiana,Gini coefficient,0.43200001,"6,332,669"
2006,Indiana,GDP,46134.20833,"6,332,669"
2006,Indiana,Log(GDP),10.73931,"6,332,669"
2006,Indiana,Age,36.3,"6,332,669"
2006,Indiana,People with less than 9 years of education/people with college degree or above,0.2123694,"6,332,669"
2006,Indiana,Black/white,0.1039117,"6,332,669"
2006,Indiana,Hispanic/white,0.0565854,"6,332,669"
2007,Indiana,Labor Force Participation,66.3,"6,379,599"
2007,Indiana,Unemployment rate,4.6,"6,379,599"
2007,Indiana,Average household size,2.5,"6,379,599"
2007,Indiana,Poverty rate,8.7,"6,379,599"
2007,Indiana,"Number of corruption convictions per 1,000,000 people",3.76199,"6,379,599"
2007,Indiana,Gini coefficient,0.42899999,"6,379,599"
2007,Indiana,GDP,47188.24057,"6,379,599"
2007,Indiana,Log(GDP),10.7619,"6,379,599"
2007,Indiana,Age,36.5,"6,379,599"
2007,Indiana,People with less than 9 years of education/people with college degree or above,0.1897064,"6,379,599"
2007,Indiana,Black/white,0.103022,"6,379,599"
2007,Indiana,Hispanic/white,0.0591288,"6,379,599"
2008,Indiana,Labor Force Participation,66.3,"6,424,806"
2008,Indiana,Unemployment rate,5.9,"6,424,806"
2008,Indiana,Average household size,2.49,"6,424,806"
2008,Indiana,Poverty rate,9.6,"6,424,806"
2008,Indiana,"Number of corruption convictions per 1,000,000 people",2.19546,"6,424,806"
2008,Indiana,Gini coefficient,0.43700001,"6,424,806"
2008,Indiana,GDP,46773.40261,"6,424,806"
2008,Indiana,Log(GDP),10.75307,"6,424,806"
2008,Indiana,Age,36.8,"6,424,806"
2008,Indiana,People with less than 9 years of education/people with college degree or above,0.191592,"6,424,806"
2008,Indiana,Black/white,0.1033701,"6,424,806"
2008,Indiana,Hispanic/white,0.0620664,"6,424,806"
2009,Indiana,Labor Force Participation,65.1,"6,459,325"
2009,Indiana,Unemployment rate,10.3,"6,459,325"
2009,Indiana,Average household size,2.52,"6,459,325"
2009,Indiana,Poverty rate,10.7,"6,459,325"
2009,Indiana,"Number of corruption convictions per 1,000,000 people",2.80238,"6,459,325"
2009,Indiana,Gini coefficient,0.43399999,"6,459,325"
2009,Indiana,GDP,43199.31856,"6,459,325"
2009,Indiana,Log(GDP),10.67358,"6,459,325"
2009,Indiana,Age,36.8,"6,459,325"
2009,Indiana,People with less than 9 years of education/people with college degree or above,0.1950112,"6,459,325"
2009,Indiana,Black/white,0.1067741,"6,459,325"
2009,Indiana,Hispanic/white,0.0657208,"6,459,325"
2010,Indiana,Labor Force Participation,64,"6,490,432"
2010,Indiana,Unemployment rate,10.4,"6,490,432"
2010,Indiana,Average household size,2.55,"6,490,432"
2010,Indiana,Poverty rate,11,"6,490,432"
2010,Indiana,"Number of corruption convictions per 1,000,000 people",1.84882,"6,490,432"
2010,Indiana,Gini coefficient,0.44,"6,490,432"
2010,Indiana,GDP,45470.54351,"6,490,432"
2010,Indiana,Log(GDP),10.72482,"6,490,432"
2010,Indiana,Age,36.9,"6,490,432"
2010,Indiana,People with less than 9 years of education/people with college degree or above,0.183702,"6,490,432"
2010,Indiana,Black/white,0.1109765,"6,490,432"
2010,Indiana,Hispanic/white,0.0736416,"6,490,432"
2011,Indiana,Labor Force Participation,63.6,"6,516,528"
2011,Indiana,Unemployment rate,9.1,"6,516,528"
2011,Indiana,Average household size,2.57,"6,516,528"
2011,Indiana,Poverty rate,11.7,"6,516,528"
2011,Indiana,"Number of corruption convictions per 1,000,000 people",0.92068,"6,516,528"
2011,Indiana,Gini coefficient,0.4461,"6,516,528"
2011,Indiana,GDP,45492.82954,"6,516,528"
2011,Indiana,Log(GDP),10.72531,"6,516,528"
2011,Indiana,Age,37.1,"6,516,528"
2011,Indiana,People with less than 9 years of education/people with college degree or above,0.1815156,"6,516,528"
2011,Indiana,Black/white,0.1112469,"6,516,528"
2011,Indiana,Hispanic/white,0.0754386,"6,516,528"
2012,Indiana,Labor Force Participation,63,"6,537,703"
2012,Indiana,Unemployment rate,8.3,"6,537,703"
2012,Indiana,Average household size,2.56,"6,537,703"
2012,Indiana,Poverty rate,11.3,"6,537,703"
2012,Indiana,"Number of corruption convictions per 1,000,000 people",4.89496,"6,537,703"
2012,Indiana,Gini coefficient,0.44170001,"6,537,703"
2012,Indiana,GDP,45516.0368,"6,537,703"
2012,Indiana,Log(GDP),10.72582,"6,537,703"
2012,Indiana,Age,37.3,"6,537,703"
2012,Indiana,People with less than 9 years of education/people with college degree or above,0.1713147,"6,537,703"
2012,Indiana,Black/white,0.1130919,"6,537,703"
2012,Indiana,Hispanic/white,0.0773078,"6,537,703"
2013,Indiana,Labor Force Participation,63,"6,568,713"
2013,Indiana,Unemployment rate,7.7,"6,568,713"
2013,Indiana,Average household size,2.55,"6,568,713"
2013,Indiana,Poverty rate,11.9,"6,568,713"
2013,Indiana,"Number of corruption convictions per 1,000,000 people",3.50028,"6,568,713"
2013,Indiana,Gini coefficient,0.45539999,"6,568,713"
2013,Indiana,GDP,46252.4632,"6,568,713"
2013,Indiana,Log(GDP),10.74187,"6,568,713"
2013,Indiana,Age,37.3,"6,568,713"
2013,Indiana,People with less than 9 years of education/people with college degree or above,0.1722369,"6,568,713"
2013,Indiana,Black/white,0.113969,"6,568,713"
2013,Indiana,Hispanic/white,0.0794219,"6,568,713"
2014,Indiana,Labor Force Participation,63.3,"6,593,644"
2014,Indiana,Unemployment rate,6,"6,593,644"
2014,Indiana,Average household size,2.56,"6,593,644"
2014,Indiana,Poverty rate,10.9,"6,593,644"
2014,Indiana,"Number of corruption convictions per 1,000,000 people",2.57699,"6,593,644"
2014,Indiana,Gini coefficient,0.44549999,"6,593,644"
2014,Indiana,GDP,47455.60873,"6,593,644"
2014,Indiana,Log(GDP),10.76755,"6,593,644"
2014,Indiana,Age,37.4,"6,593,644"
2014,Indiana,People with less than 9 years of education/people with college degree or above,0.1566502,"6,593,644"
2014,Indiana,Black/white,0.1157763,"6,593,644"
2014,Indiana,Hispanic/white,0.0803713,"6,593,644"
2015,Indiana,Labor Force Participation,63.9,"6,608,422"
2015,Indiana,Unemployment rate,4.8,"6,608,422"
2015,Indiana,Average household size,2.56,"6,608,422"
2015,Indiana,Poverty rate,10.2,"6,608,422"
2015,Indiana,"Number of corruption convictions per 1,000,000 people",1.81278,"6,608,422"
2015,Indiana,Gini coefficient,0.45190001,"6,608,422"
2015,Indiana,GDP,46811.30441,"6,608,422"
2015,Indiana,Log(GDP),10.75388,"6,608,422"
2015,Indiana,Age,37.5,"6,608,422"
2015,Indiana,People with less than 9 years of education/people with college degree or above,0.1515835,"6,608,422"
2015,Indiana,Black/white,0.1145157,"6,608,422"
2015,Indiana,Hispanic/white,0.0830221,"6,608,422"
2005,Iowa,Labor Force Participation,71.6,"2,964,454"
2005,Iowa,Unemployment rate,4.3,"2,964,454"
2005,Iowa,Average household size,2.38,"2,964,454"
2005,Iowa,Poverty rate,7.5,"2,964,454"
2005,Iowa,"Number of corruption convictions per 1,000,000 people",1.34932,"2,964,454"
2005,Iowa,Gini coefficient,0.42199999,"2,964,454"
2005,Iowa,GDP,50261.76863,"2,964,454"
2005,Iowa,Log(GDP),10.825,"2,964,454"
2005,Iowa,Age,38.6,"2,964,454"
2005,Iowa,People with less than 9 years of education/people with college degree or above,0.1565836,"2,964,454"
2005,Iowa,Black/white,0.0239077,"2,964,454"
2005,Iowa,Hispanic/white,0.0404787,"2,964,454"
2006,Iowa,Labor Force Participation,72.3,"2,982,644"
2006,Iowa,Unemployment rate,3.7,"2,982,644"
2006,Iowa,Average household size,2.38,"2,982,644"
2006,Iowa,Poverty rate,7.3,"2,982,644"
2006,Iowa,"Number of corruption convictions per 1,000,000 people",0.670547,"2,982,644"
2006,Iowa,Gini coefficient,0.42399999,"2,982,644"
2006,Iowa,GDP,48921.38985,"2,982,644"
2006,Iowa,Log(GDP),10.79797,"2,982,644"
2006,Iowa,Age,37.8,"2,982,644"
2006,Iowa,People with less than 9 years of education/people with college degree or above,0.1816891,"2,982,644"
2006,Iowa,Black/white,0.0243338,"2,982,644"
2006,Iowa,Hispanic/white,0.0416248,"2,982,644"
2007,Iowa,Labor Force Participation,72,"2,999,212"
2007,Iowa,Unemployment rate,3.7,"2,999,212"
2007,Iowa,Average household size,2.37,"2,999,212"
2007,Iowa,Poverty rate,7.4,"2,999,212"
2007,Iowa,"Number of corruption convictions per 1,000,000 people",3.00079,"2,999,212"
2007,Iowa,Gini coefficient,0.426,"2,999,212"
2007,Iowa,GDP,50953.56466,"2,999,212"
2007,Iowa,Log(GDP),10.83867,"2,999,212"
2007,Iowa,Age,38,"2,999,212"
2007,Iowa,People with less than 9 years of education/people with college degree or above,0.1635638,"2,999,212"
2007,Iowa,Black/white,0.0255848,"2,999,212"
2007,Iowa,Hispanic/white,0.0442655,"2,999,212"
2008,Iowa,Labor Force Participation,72.4,"3,016,734"
2008,Iowa,Unemployment rate,4.2,"3,016,734"
2008,Iowa,Average household size,2.38,"3,016,734"
2008,Iowa,Poverty rate,7.3,"3,016,734"
2008,Iowa,"Number of corruption convictions per 1,000,000 people",2.99745,"3,016,734"
2008,Iowa,Gini coefficient,0.428,"3,016,734"
2008,Iowa,GDP,49668.19164,"3,016,734"
2008,Iowa,Log(GDP),10.81312,"3,016,734"
2008,Iowa,Age,38.2,"3,016,734"
2008,Iowa,People with less than 9 years of education/people with college degree or above,0.1592141,"3,016,734"
2008,Iowa,Black/white,0.0281347,"3,016,734"
2008,Iowa,Hispanic/white,0.0457322,"3,016,734"
2009,Iowa,Labor Force Participation,72.3,"3,032,870"
2009,Iowa,Unemployment rate,6.4,"3,032,870"
2009,Iowa,Average household size,2.37,"3,032,870"
2009,Iowa,Poverty rate,7.7,"3,032,870"
2009,Iowa,"Number of corruption convictions per 1,000,000 people",1.32985,"3,032,870"
2009,Iowa,Gini coefficient,0.43099999,"3,032,870"
2009,Iowa,GDP,48412.82321,"3,032,870"
2009,Iowa,Log(GDP),10.78752,"3,032,870"
2009,Iowa,Age,38,"3,032,870"
2009,Iowa,People with less than 9 years of education/people with college degree or above,0.1491655,"3,032,870"
2009,Iowa,Black/white,0.0282577,"3,032,870"
2009,Iowa,Hispanic/white,0.0483281,"3,032,870"
2010,Iowa,Labor Force Participation,71.2,"3,050,745"
2010,Iowa,Unemployment rate,6,"3,050,745"
2010,Iowa,Average household size,2.41,"3,050,745"
